universe,symbol,name,adv_yuan,tier,slip_bp,rt_bp,threshold_bp,window,bucket,n_days,amp_p25,amp_p50,amp_p75,req_cap,grade,net_at_10pct_bp
B,159400,景顺长城深证AAA科技创新公司债ETF,988478730.0,Q5,2.34,8.388,11.995,OOS,ALL,241,0.05,0.3,0.8,39.9833,RED,-8.36
B,159506,富国恒生港股通创新药及医疗保健ETF,299190278.0,Q4,4.0,11.708,16.742,IS,L,157,35.44,41.12,53.09,0.4071,YELLOW,-7.6
B,159506,富国恒生港股通创新药及医疗保健ETF,299190278.0,Q4,4.0,11.708,16.742,IS,M,111,36.82,40.93,51.78,0.409,YELLOW,-7.62
B,159506,富国恒生港股通创新药及医疗保健ETF,299190278.0,Q4,4.0,11.708,16.742,IS,H,135,38.11,47.93,62.39,0.3493,YELLOW,-6.92
B,159506,富国恒生港股通创新药及医疗保健ETF,299190278.0,Q4,4.0,11.708,16.742,IS,ALL,403,36.84,42.92,54.5,0.3901,YELLOW,-7.42
B,159506,富国恒生港股通创新药及医疗保健ETF,299190278.0,Q4,4.0,11.708,16.742,OOS,L,21,23.63,31.35,40.0,0.534,RED,-8.57
B,159506,富国恒生港股通创新药及医疗保健ETF,299190278.0,Q4,4.0,11.708,16.742,OOS,M,127,35.61,43.24,50.19,0.3872,YELLOW,-7.38
B,159506,富国恒生港股通创新药及医疗保健ETF,299190278.0,Q4,4.0,11.708,16.742,OOS,H,92,40.76,53.43,63.79,0.3133,YELLOW,-6.37
B,159506,富国恒生港股通创新药及医疗保健ETF,299190278.0,Q4,4.0,11.708,16.742,OOS,ALL,240,36.47,45.11,55.35,0.3711,YELLOW,-7.2
B,159509,景顺长城纳斯达克科技市值加权ETF(QDII),1157256023.0,Q5,2.34,8.388,11.995,IS,L,157,17.81,21.9,29.37,0.5477,RED,-6.2
B,159509,景顺长城纳斯达克科技市值加权ETF(QDII),1157256023.0,Q5,2.34,8.388,11.995,IS,M,111,18.2,24.64,30.34,0.4868,YELLOW,-5.92
B,159509,景顺长城纳斯达克科技市值加权ETF(QDII),1157256023.0,Q5,2.34,8.388,11.995,IS,H,135,17.06,22.46,30.25,0.5341,RED,-6.14
B,159509,景顺长城纳斯达克科技市值加权ETF(QDII),1157256023.0,Q5,2.34,8.388,11.995,IS,ALL,403,17.87,22.65,30.21,0.5296,RED,-6.12
